Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
AMRN,7.72,Put,8.00,06/19/20,45,1.20,1.27,1.34,1.23,10031,884,11.35,99.72%,05/05/20
TSLA,768.21,Put,785.00,05/08/20,3,29.20,31.1,33.00,30.35,2593,232,11.18,74.59%,05/05/20
UNH,293.04,Call,302.50,05/08/20,3,0.40,0.57,0.74,0.68,1239,111,11.16,33.27%,05/05/20
NCLH,11.18,Put,8.50,05/15/20,10,0.45,0.48,0.50,0.46,1639,148,11.07,220.37%,05/05/20
BAC,22.66,Put,23.00,05/22/20,17,1.14,1.17,1.19,1.14,2704,246,10.99,49.30%,05/05/20
MU,45.41,Call,46.50,05/15/20,10,1.14,1.17,1.19,1.20,2800,263,10.65,55.47%,05/05/20
PYPL,125.43,Put,116.00,05/08/20,3,0.45,0.49,0.53,0.51,1286,121,10.63,75.09%,05/05/20
EA,119.61,Call,125.00,05/08/20,3,1.71,1.78,1.85,1.78,2671,253,10.56,88.02%,05/05/20
EA,119.61,Call,122.00,05/08/20,3,2.50,2.58,2.65,2.73,1359,129,10.53,87.02%,05/05/20
NCLH,11.18,Call,11.50,05/08/20,3,0.75,0.8,0.85,0.80,3268,311,10.51,232.30%,05/05/20
TSLA,768.21,Put,790.00,05/08/20,3,32.35,33.83,35.30,32.45,2699,257,10.5,70.03%,05/05/20
W,165.88,Call,185.00,05/08/20,3,0.60,1.48,2.35,1.70,2831,273,10.37,123.07%,05/05/20
PYPL,125.43,Call,128.00,05/08/20,3,2.23,2.35,2.47,2.32,2264,219,10.34,75.26%,05/05/20
MU,45.41,Call,47.50,05/08/20,3,0.27,0.28,0.28,0.28,6652,644,10.33,59.13%,05/05/20
PINS,20.81,Put,21.00,05/08/20,3,1.30,1.6,1.90,1.50,1848,183,10.1,185.94%,05/05/20
GOLD,28.19,Call,33.00,01/15/21,255,2.60,2.9,3.20,2.75,1658,166,9.99,46.29%,05/05/20
NCLH,11.18,Put,9.00,05/08/20,3,0.20,0.25,0.30,0.23,4509,452,9.98,261.01%,05/05/20
GOOG,1351.11,Call,1380.00,05/08/20,3,2.50,4.6,6.70,4.80,1426,143,9.97,30.35%,05/05/20
NCLH,11.18,Put,10.00,05/08/20,3,0.40,0.45,0.50,0.45,11863,1194,9.94,241.67%,05/05/20
DIS,101.06,Put,94.00,05/08/20,3,1.10,1.18,1.26,1.17,5670,577,9.83,104.19%,05/05/20
NOW,370.64,Call,380.00,05/08/20,3,3.40,3.55,3.70,3.30,1080,110,9.82,51.53%,05/05/20
ZM,144.82,Put,139.00,05/08/20,3,1.55,1.83,2.10,1.95,1291,132,9.78,82.74%,05/05/20
FB,207.07,Put,207.50,05/15/20,10,4.85,4.98,5.10,4.95,1966,202,9.73,34.86%,05/05/20
ATVI,68.53,Call,78.00,05/08/20,3,0.40,0.43,0.46,0.43,1377,145,9.5,117.97%,05/05/20
KN,14.79,Call,15.00,05/15/20,10,0.30,0.38,0.45,0.35,1124,119,9.45,45.24%,05/05/20
AAPL,297.56,Put,305.00,05/08/20,3,8.50,9.03,9.55,8.60,2915,314,9.28,34.91%,05/05/20
GNPX,3.5,Call,2.50,06/19/20,45,1.15,1.2,1.25,1.17,2459,267,9.21,126.32%,05/05/20
AMD,52.19,Put,50.00,05/29/20,24,1.90,1.95,2.00,2.02,6003,654,9.18,57.59%,05/05/20
SQ,66.69,Put,67.00,05/08/20,3,2.66,2.76,2.86,2.80,1328,145,9.16,109.49%,05/05/20
CTSH,57.14,Call,60.00,05/08/20,3,0.35,0.52,0.70,0.57,1005,110,9.14,76.05%,05/05/20
MOS,11.78,Call,12.00,05/15/20,10,0.35,0.46,0.56,0.52,3545,388,9.14,79.28%,05/05/20
CAR,13.88,Call,14.00,06/19/20,45,2.25,2.58,2.90,2.60,1509,166,9.09,137.05%,05/05/20
TSLA,768.21,Call,775.00,05/08/20,3,16.00,17,18.00,17.00,7417,819,9.06,72.31%,05/05/20
HPQ,14.81,Call,14.50,05/15/20,10,0.49,0.75,1.01,0.76,1953,220,8.88,60.90%,05/05/20
FLWS,20.72,Call,22.00,05/15/20,10,0.35,0.45,0.55,0.45,2768,312,8.87,67.72%,05/05/20
ZTS,131.3,Call,138.00,05/15/20,10,0.75,1,1.25,1.05,963,111,8.68,38.10%,05/05/20
MSFT,180.76,Put,180.00,05/08/20,3,1.55,1.73,1.90,1.90,10554,1218,8.67,34.77%,05/05/20
BA,125.4,Call,132.00,05/08/20,3,1.50,1.66,1.81,1.62,2821,327,8.63,88.09%,05/05/20
MU,45.41,Put,46.50,05/15/20,10,2.21,2.26,2.31,2.31,1441,170,8.48,56.73%,05/05/20
BYND,100.16,Put,74.00,05/15/20,10,0.62,0.67,0.71,0.65,1346,159,8.47,129.33%,05/05/20
TGT,111.76,Put,105.00,05/22/20,17,2.17,2.44,2.70,2.32,1179,141,8.36,53.76%,05/05/20
SQ,66.69,Call,71.00,05/08/20,3,1.02,1.07,1.11,1.08,850,102,8.33,108.68%,05/05/20
TSLA,768.21,Put,705.00,07/17/20,73,69.85,70.9,71.95,69.20,1058,129,8.2,75.32%,05/05/20
GOOG,1351.11,Call,1370.00,05/08/20,3,6.80,8.15,9.50,8.34,1129,141,8.01,32.51%,05/05/20
W,165.88,Call,175.00,05/08/20,3,4.10,4.25,4.40,4.00,1874,234,8.01,125.19%,05/05/20
TSLA,768.21,Call,780.00,05/08/20,3,15.00,16,17.00,15.00,9624,1235,7.79,72.59%,05/05/20
FB,207.07,Call,212.50,05/22/20,17,3.50,3.58,3.65,3.65,934,121,7.72,32.83%,05/05/20
GSX,39.68,Call,55.00,07/17/20,73,1.60,1.9,2.20,1.60,973,126,7.72,79.18%,05/05/20
FB,207.07,Call,225.00,06/12/20,38,1.97,2.13,2.28,2.44,1784,231,7.72,30.61%,05/05/20
EA,119.61,Put,105.00,05/08/20,3,0.23,0.27,0.31,0.13,917,119,7.71,81.61%,05/05/20
OKE,29.93,Call,50.00,01/21/22,626,2.50,2.95,3.40,3.30,2074,269,7.71,50.76%,05/05/20
WBA,42.02,Call,43.00,05/15/20,10,0.83,0.88,0.93,0.89,3590,467,7.69,46.92%,05/05/20
W,165.88,Call,190.00,05/08/20,3,1.10,1.1,1.10,1.15,8013,1044,7.68,125.50%,05/05/20
TSLA,768.21,Put,760.00,05/08/20,3,16.50,16.95,17.40,17.10,5011,655,7.65,75.96%,05/05/20
GE,6.2,Call,5.00,07/17/20,73,1.41,1.45,1.49,1.43,3716,487,7.63,65.77%,05/05/20
TSLA,768.21,Put,745.00,05/08/20,3,10.65,11.35,12.05,11.52,2344,311,7.54,77.34%,05/05/20
PTON,36.22,Call,36.50,05/08/20,3,2.65,2.71,2.76,2.71,934,124,7.53,216.77%,05/05/20
NVDA,293.74,Put,295.00,05/08/20,3,5.35,5.6,5.85,5.50,2963,395,7.5,45.67%,05/05/20
FB,207.07,Call,222.50,05/15/20,10,0.47,0.52,0.58,0.55,1985,267,7.43,33.44%,05/05/20
ATVI,68.53,Call,74.00,05/15/20,10,0.84,1.05,1.26,1.08,1049,142,7.39,65.15%,05/05/20
NCLH,11.18,Put,9.00,05/15/20,10,0.50,0.58,0.65,0.60,1404,192,7.31,217.45%,05/05/20
BYND,100.16,Call,102.00,05/08/20,3,5.10,6.03,6.95,6.15,1355,186,7.28,192.46%,05/05/20
ATVI,68.53,Put,60.00,11/20/20,199,4.15,4.45,4.75,4.48,1002,138,7.26,43.68%,05/05/20
NDLS,4.72,Call,5.00,08/21/20,108,0.70,0.85,1.00,0.90,1508,208,7.25,98.57%,05/05/20
GOOG,1351.11,Call,1365.00,05/08/20,3,7.00,9,11.00,10.31,760,105,7.24,33.12%,05/05/20
TEAM,169.58,Call,180.00,05/15/20,10,1.55,1.83,2.10,1.76,1311,182,7.2,47.17%,05/05/20
AAPL,297.56,Put,302.50,05/15/20,10,8.60,9.27,9.95,9.00,1158,161,7.19,31.77%,05/05/20
ZTS,131.3,Put,128.00,05/15/20,10,2.20,2.55,2.90,2.54,952,133,7.16,46.65%,05/05/20
