Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
SNAP,16,Call,15.50,05/01/20,7,0.80,0.82,0.83,0.80,4581,1317,3.48,58.54%,04/24/20
FB,190.07,Call,200.00,05/01/20,7,3.35,3.43,3.50,3.40,12950,3719,3.48,67.82%,04/24/20
APA,10.69,Put,9.50,05/01/20,7,0.33,0.36,0.39,0.33,761,219,3.47,141.42%,04/24/20
AMRN,7.53,Call,8.50,05/01/20,7,0.18,0.19,0.20,0.19,1135,327,3.47,122.71%,04/24/20
FB,190.07,Put,190.00,05/01/20,7,7.10,7.3,7.50,7.27,1299,374,3.47,69.81%,04/24/20
CZR,8.87,Put,8.00,05/01/20,7,0.10,0.11,0.12,0.12,862,249,3.46,90.15%,04/24/20
TSLA,725.15,Put,660.00,05/01/20,7,20.55,21.03,21.50,21.10,684,199,3.44,122.20%,04/24/20
SQ,62.01,Put,57.50,05/01/20,7,0.59,0.62,0.65,0.66,630,184,3.42,67.56%,04/24/20
FB,190.07,Call,187.50,05/01/20,7,8.00,8.35,8.70,8.45,3531,1034,3.41,67.79%,04/24/20
CGC,15.59,Call,16.50,05/01/20,7,0.33,0.36,0.38,0.38,1570,462,3.4,84.39%,04/24/20
PG,118.78,Call,120.00,05/01/20,7,0.71,0.98,1.25,1.21,1638,484,3.38,26.41%,04/24/20
UAL,25.56,Call,27.00,05/01/20,7,0.85,0.91,0.97,0.93,3554,1052,3.38,106.34%,04/24/20
SPCE,17.02,Call,16.50,05/01/20,7,1.29,1.36,1.43,1.43,527,157,3.36,124.29%,04/24/20
BA,128.98,Put,110.00,05/01/20,7,1.66,1.74,1.82,1.84,2866,858,3.34,121.51%,04/24/20
IRM,23.53,Put,20.00,05/15/20,21,0.45,0.48,0.50,0.50,6245,1870,3.34,83.03%,04/24/20
NWL,12.91,Call,15.00,01/21/22,637,2.50,2.73,2.95,2.70,559,168,3.33,49.33%,04/24/20
PTON,31.74,Call,33.00,05/01/20,7,1.02,1.07,1.12,1.15,876,263,3.33,95.35%,04/24/20
HD,212.18,Call,215.00,05/01/20,7,2.42,2.69,2.95,2.70,855,258,3.31,33.32%,04/24/20
DO,0.94,Call,2.00,06/19/20,56,0.16,0.18,0.19,0.19,928,280,3.31,271.81%,04/24/20
LUV,29.33,Call,31.50,05/15/20,21,1.05,1.13,1.20,1.20,1673,506,3.31,72.37%,04/24/20
FB,190.07,Call,205.00,05/01/20,7,2.21,2.23,2.25,2.23,5397,1637,3.3,68.00%,04/24/20
CX,1.86,Put,4.00,01/21/22,637,1.83,2.37,2.90,2.39,526,160,3.29,75.54%,04/24/20
DOCU,105.07,Put,87.50,05/15/20,21,0.45,0.5,0.55,0.55,1108,339,3.27,57.19%,04/24/20
INO,14.59,Call,13.50,05/01/20,7,2.35,2.58,2.80,2.55,1977,606,3.26,253.41%,04/24/20
FSM,2.71,Put,3.00,05/15/20,21,0.45,0.48,0.50,0.50,575,178,3.23,123.80%,04/24/20
FB,190.07,Call,195.00,05/08/20,14,6.10,6.15,6.20,6.11,1208,374,3.23,55.27%,04/24/20
KO,45.43,Put,44.50,05/01/20,7,0.37,0.4,0.42,0.40,538,167,3.22,31.48%,04/24/20
HTZ,3.71,Call,5.00,06/19/20,56,0.55,0.65,0.75,0.61,553,173,3.2,171.75%,04/24/20
UAL,25.56,Put,22.00,05/15/20,21,1.15,1.19,1.23,1.18,2218,695,3.19,114.14%,04/24/20
FB,190.07,Put,180.00,05/01/20,7,3.05,3.22,3.40,3.20,5110,1604,3.19,69.96%,04/24/20
M,5.02,Put,4.50,05/15/20,21,0.30,0.32,0.34,0.30,690,217,3.18,114.72%,04/24/20
RTX,63.43,Call,80.00,08/21/20,119,1.30,1.75,2.19,1.72,895,282,3.17,43.65%,04/24/20
TSLA,725.15,Call,725.00,05/01/20,7,47.85,48.55,49.25,48.82,1606,507,3.17,121.64%,04/24/20
ZM,158.8,Put,160.00,05/15/20,21,15.40,15.65,15.90,15.87,1665,526,3.17,100.70%,04/24/20
TSLA,725.15,Call,800.00,05/01/20,7,22.85,23.05,23.25,22.85,4971,1569,3.17,123.35%,04/24/20
ACM,33.96,Put,30.00,06/19/20,56,1.30,1.35,1.40,1.36,527,168,3.14,59.12%,04/24/20
QEP,0.5369,Call,1.00,01/15/21,266,0.20,0.48,0.75,0.25,1140,365,3.12,193.47%,04/24/20
GILD,79.64,Put,69.00,05/01/20,7,0.25,0.38,0.51,0.36,2152,690,3.12,79.07%,04/24/20
SFM,21.69,Call,25.00,09/18/20,147,1.20,1.28,1.35,1.28,842,272,3.1,43.74%,04/24/20
INTC,59.26,Call,57.00,05/15/20,21,3.35,3.45,3.55,3.37,2471,797,3.1,36.27%,04/24/20
NFLX,424.99,Call,440.00,05/01/20,7,4.70,4.88,5.05,4.80,2718,878,3.1,44.52%,04/24/20
AAL,10.31,Call,10.50,05/01/20,7,0.57,0.59,0.61,0.61,6640,2157,3.08,121.90%,04/24/20
ZM,158.8,Put,160.00,05/08/20,14,13.10,13.55,14.00,13.37,619,202,3.06,102.96%,04/24/20
BA,128.98,Put,132.00,05/01/20,7,8.60,9.02,9.45,9.25,706,231,3.06,106.39%,04/24/20
EXPE,66.57,Put,55.00,01/15/21,266,8.80,9.15,9.50,9.00,2070,676,3.06,70.20%,04/24/20
INO,14.59,Call,12.50,05/01/20,7,2.80,2.95,3.10,3.08,1888,619,3.05,248.71%,04/24/20
GOLD,27.1,Put,27.00,05/01/20,7,0.84,0.89,0.93,0.89,590,194,3.04,63.07%,04/24/20
ARCC,11.65,Call,14.00,06/19/20,56,0.00,0.18,0.35,0.30,624,205,3.04,54.70%,04/24/20
OXY,13.81,Call,13.00,05/15/20,21,1.91,1.96,2.00,2.05,1226,403,3.04,125.88%,04/24/20
BA,128.98,Put,105.00,05/01/20,7,1.22,1.23,1.25,1.24,2722,896,3.04,127.76%,04/24/20
ZS,67.5,Call,75.00,06/19/20,56,3.80,4.15,4.50,4.00,968,320,3.03,63.89%,04/24/20
NFLX,424.99,Call,425.00,05/01/20,7,10.30,10.58,10.85,10.20,1818,602,3.02,43.27%,04/24/20
FCEL,2.09,Call,2.50,05/15/20,21,0.10,0.13,0.15,0.15,3037,1007,3.02,143.50%,04/24/20
ZM,158.8,Put,165.00,05/15/20,21,18.20,18.5,18.80,18.55,781,261,2.99,99.12%,04/24/20
AAPL,282.97,Call,280.00,05/01/20,7,8.65,8.8,8.95,8.80,11620,3897,2.98,46.20%,04/24/20
M,5.02,Call,6.00,05/22/20,28,0.27,0.31,0.34,0.33,907,307,2.95,118.16%,04/24/20
LVS,43.78,Put,43.00,05/15/20,21,2.41,2.54,2.67,2.60,1078,365,2.95,72.06%,04/24/20
T,29.71,Put,29.00,05/01/20,7,0.25,0.27,0.29,0.30,3591,1218,2.95,36.41%,04/24/20
AAPL,282.97,Put,280.00,05/01/20,7,5.95,6.08,6.20,6.00,8939,3041,2.94,47.71%,04/24/20
C,43.1,Call,44.50,05/01/20,7,0.68,0.73,0.78,0.73,600,205,2.93,54.13%,04/24/20
PE,8.32,Call,7.50,09/18/20,147,2.15,2.3,2.45,2.17,1520,521,2.92,86.66%,04/24/20
BYND,108.78,Call,125.00,05/08/20,14,6.05,6.28,6.50,6.25,506,175,2.89,140.12%,04/24/20
AAPL,282.97,Put,257.50,05/08/20,14,1.76,3.13,4.50,2.09,572,198,2.89,48.08%,04/24/20
PINS,20.62,Call,21.00,05/01/20,7,0.65,0.68,0.70,0.68,1365,474,2.88,74.37%,04/24/20
BA,128.98,Call,136.00,05/01/20,7,2.55,3.68,4.80,4.85,606,211,2.87,107.45%,04/24/20
NVDA,289.59,Put,282.50,05/01/20,7,4.60,5.03,5.45,4.60,824,287,2.87,48.43%,04/24/20
CVNA,92.24,Put,80.00,05/15/20,21,4.80,5.15,5.50,5.10,1107,386,2.87,122.96%,04/24/20
HAL,8.86,Call,9.50,05/08/20,14,0.26,0.29,0.32,0.27,683,240,2.85,73.74%,04/24/20
FB,190.07,Call,215.00,05/08/20,14,1.15,1.21,1.26,1.25,573,202,2.84,53.41%,04/24/20
NRZ,5.22,Call,7.00,11/20/20,210,1.05,1.13,1.20,1.05,620,218,2.84,99.87%,04/24/20
ZM,158.8,Put,135.00,05/08/20,14,4.40,4.65,4.90,4.50,623,219,2.84,114.84%,04/24/20
INO,14.59,Call,13.00,05/08/20,14,3.10,3.35,3.60,3.55,694,244,2.84,251.18%,04/24/20
AMD,56.18,Call,85.00,01/15/21,266,3.15,3.25,3.35,3.25,2228,784,2.84,53.98%,04/24/20
BABA,204.36,Put,195.00,05/01/20,7,0.97,1.04,1.11,1.02,2114,747,2.83,37.40%,04/24/20
HUYA,16.21,Call,16.00,05/15/20,21,1.05,1.15,1.25,1.21,725,257,2.82,71.23%,04/24/20
INTC,59.26,Put,55.00,05/01/20,7,0.20,0.23,0.25,0.22,3262,1156,2.82,46.33%,04/24/20
BA,128.98,Call,130.00,09/18/20,147,26.80,27.35,27.90,27.55,506,180,2.81,85.91%,04/24/20
ZM,158.8,Put,147.00,05/01/20,7,4.20,4.6,5.00,4.76,567,202,2.81,113.01%,04/24/20
SPCE,17.02,Call,17.00,05/01/20,7,1.14,1.17,1.20,1.16,2685,956,2.81,122.32%,04/24/20
GOLD,27.1,Call,28.00,05/08/20,14,0.94,1.04,1.13,0.91,2065,738,2.8,60.73%,04/24/20
ROKU,124.83,Put,115.00,07/17/20,84,12.50,12.95,13.40,12.90,2321,829,2.8,76.85%,04/24/20
TGT,107.82,Call,108.00,05/01/20,7,2.13,2.2,2.26,2.11,518,186,2.78,36.69%,04/24/20
ROKU,124.83,Call,128.00,05/01/20,7,3.80,3.95,4.10,3.85,543,196,2.77,75.54%,04/24/20
PBR,5.66,Put,4.00,09/18/20,147,0.37,0.39,0.41,0.41,706,255,2.77,87.29%,04/24/20
MGM,13.94,Put,7.00,09/18/20,147,0.67,0.73,0.78,0.74,743,269,2.76,122.15%,04/24/20
NVDA,289.59,Call,287.50,05/01/20,7,8.55,8.85,9.15,8.95,834,302,2.76,49.11%,04/24/20
ROKU,124.83,Put,120.00,05/01/20,7,2.99,3.1,3.20,3.13,1191,432,2.76,76.97%,04/24/20
OXY,13.81,Call,13.50,05/15/20,21,1.63,1.68,1.73,1.70,1197,434,2.76,117.92%,04/24/20
KO,45.43,Call,47.00,05/15/20,21,0.67,0.75,0.82,0.70,1608,588,2.73,30.10%,04/24/20
DE,138.63,Call,140.00,06/19/20,56,8.30,8.53,8.75,8.50,775,285,2.72,41.65%,04/24/20
WYNN,76.61,Call,85.00,06/19/20,56,6.00,6.23,6.45,6.25,2198,808,2.72,78.25%,04/24/20
ZM,158.8,Call,150.00,05/01/20,7,14.10,14.55,15.00,14.60,1339,495,2.71,111.99%,04/24/20
INTC,59.26,Put,57.50,05/01/20,7,0.60,0.65,0.70,0.66,1663,614,2.71,42.41%,04/24/20
EDU,110.15,Put,100.00,10/16/20,175,7.90,8.45,9.00,8.41,752,279,2.7,45.38%,04/24/20
MU,44.16,Call,42.50,10/16/20,175,7.20,7.38,7.55,6.92,1003,371,2.7,49.87%,04/24/20
ERI,17.82,Put,20.00,05/15/20,21,3.60,3.7,3.80,3.60,549,205,2.68,131.16%,04/24/20
MPLX,16.67,Call,20.00,06/19/20,56,0.25,0.43,0.60,0.40,748,279,2.68,52.93%,04/24/20
INO,14.59,Call,15.00,05/01/20,7,1.80,1.92,2.05,2.00,4808,1796,2.68,270.44%,04/24/20
BA,128.98,Put,125.00,05/01/20,7,5.50,5.68,5.85,5.72,3131,1172,2.67,107.81%,04/24/20
FANG,35.78,Call,40.00,05/15/20,21,1.70,1.88,2.05,1.94,2638,995,2.65,101.36%,04/24/20
HTZ,3.71,Put,3.00,05/08/20,14,0.40,0.58,0.75,0.40,565,214,2.64,270.79%,04/24/20
INO,14.59,Call,15.00,05/08/20,14,2.60,2.73,2.85,2.65,915,346,2.64,248.81%,04/24/20
GILD,79.64,Put,70.00,07/17/20,84,4.60,5.1,5.60,4.86,546,208,2.63,62.74%,04/24/20
XXII,0.8863,Call,1.00,05/15/20,21,0.05,0.1,0.15,0.10,1922,730,2.63,165.31%,04/24/20
AAL,10.31,Put,21.00,08/21/20,119,11.15,11.28,11.40,11.13,634,242,2.62,106.30%,04/24/20
INTC,59.26,Put,55.50,05/01/20,7,0.26,0.28,0.30,0.27,995,380,2.62,45.14%,04/24/20
RIG,0.9672,Call,1.00,05/08/20,14,0.11,0.13,0.15,0.13,698,267,2.61,188.62%,04/24/20
DIS,101.19,Call,106.00,05/01/20,7,0.40,0.45,0.50,0.46,1709,658,2.6,35.10%,04/24/20
EPD,16.81,Put,13.00,01/15/21,266,1.50,1.75,2.00,1.77,2173,836,2.6,68.05%,04/24/20
SLB,16.11,Put,16.50,05/01/20,7,0.70,0.78,0.86,0.81,560,216,2.59,66.32%,04/24/20
PG,118.78,Put,115.00,01/21/22,637,17.30,17.7,18.10,17.72,901,348,2.59,34.12%,04/24/20
DG,175.98,Put,175.00,05/15/20,21,4.30,4.5,4.70,4.50,574,223,2.57,29.97%,04/24/20
JPM,90.71,Call,92.00,05/15/20,21,3.50,3.68,3.85,3.62,616,240,2.57,48.15%,04/24/20
V,167.32,Call,165.00,05/01/20,7,5.65,6.03,6.40,5.97,645,252,2.56,51.19%,04/24/20
GOLD,27.1,Put,25.00,09/18/20,147,2.42,2.47,2.52,2.48,2375,926,2.56,53.12%,04/24/20
LB,10.31,Call,15.00,06/19/20,56,0.45,0.5,0.55,0.47,2640,1032,2.56,102.61%,04/24/20
GILD,79.64,Call,80.00,05/01/20,7,3.20,3.38,3.55,3.40,5796,2267,2.56,80.97%,04/24/20
FB,190.07,Call,185.00,05/01/20,7,9.35,9.93,10.50,10.00,5205,2042,2.55,69.10%,04/24/20
TSLA,725.15,Call,720.00,05/01/20,7,50.65,51.28,51.90,51.55,1276,502,2.54,122.52%,04/24/20
UAL,25.56,Put,22.00,05/01/20,7,0.33,0.39,0.45,0.38,1584,624,2.54,118.60%,04/24/20
HUYA,16.21,Call,16.00,07/17/20,84,1.95,2,2.05,2.00,2156,850,2.54,60.99%,04/24/20
DAL,22.41,Call,22.00,05/01/20,7,1.18,1.21,1.23,1.20,2545,1001,2.54,79.82%,04/24/20
MSFT,174.55,Call,175.00,05/01/20,7,4.45,4.53,4.60,4.55,11649,4588,2.54,49.23%,04/24/20
AMRN,7.53,Call,8.00,05/08/20,14,0.45,0.46,0.48,0.45,1072,424,2.53,108.56%,04/24/20
COST,310.55,Call,320.00,05/01/20,7,0.90,0.97,1.04,1.05,699,277,2.52,23.90%,04/24/20
CGC,15.59,Put,15.00,10/16/20,175,3.25,3.78,4.30,3.50,789,314,2.51,92.41%,04/24/20
ZM,158.8,Put,125.00,05/01/20,7,1.25,1.33,1.40,1.35,1504,600,2.51,138.06%,04/24/20
AMZN,2410.22,Put,2400.00,05/01/20,7,76.05,79.05,82.05,81.00,1583,635,2.49,64.96%,04/24/20
BA,128.98,Call,145.00,05/01/20,7,2.50,2.52,2.54,2.54,2218,895,2.48,108.07%,04/24/20
NCLH,10.86,Put,11.00,05/01/20,7,0.65,0.7,0.75,0.70,1373,556,2.47,104.24%,04/24/20
FB,190.07,Call,230.00,05/08/20,14,0.29,0.38,0.46,0.43,694,282,2.46,57.21%,04/24/20
GE,6.26,Put,9.00,10/16/20,175,3.00,3.05,3.10,3.00,1000,407,2.46,58.49%,04/24/20
TSLA,725.15,Call,770.00,05/01/20,7,30.75,31.58,32.40,31.61,516,211,2.45,123.34%,04/24/20
BA,128.98,Put,133.00,05/01/20,7,7.65,9.08,10.50,9.90,780,318,2.45,107.10%,04/24/20
ZM,158.8,Put,135.00,05/01/20,7,2.20,2.28,2.35,2.35,964,395,2.44,124.78%,04/24/20
MSFT,174.55,Call,177.50,05/15/20,21,5.35,5.43,5.50,5.26,2318,951,2.44,39.08%,04/24/20
UUUU,1.86,Call,2.50,06/19/20,56,0.30,0.35,0.40,0.35,1203,496,2.43,186.48%,04/24/20
JPM,90.71,Put,81.00,05/01/20,7,0.22,0.3,0.37,0.22,769,318,2.42,56.50%,04/24/20
AAPL,282.97,Put,300.00,05/01/20,7,18.00,18.45,18.90,18.50,778,322,2.42,43.30%,04/24/20
OKE,27.66,Call,30.00,05/01/20,7,0.10,0.3,0.50,0.55,1131,468,2.42,89.43%,04/24/20
NVDA,289.59,Put,270.00,05/01/20,7,1.63,1.89,2.15,2.05,1543,638,2.42,54.99%,04/24/20
DIS,101.19,Call,103.00,05/01/20,7,1.31,1.33,1.35,1.29,1768,730,2.42,36.56%,04/24/20
PTON,31.74,Call,32.00,05/01/20,7,1.34,1.41,1.47,1.45,1790,744,2.41,89.42%,04/24/20
SBUX,75.58,Call,80.00,05/01/20,7,0.80,0.85,0.90,0.83,2317,961,2.41,56.36%,04/24/20
ZM,158.8,Call,160.00,05/01/20,7,8.30,8.65,9.00,8.47,2568,1069,2.4,102.75%,04/24/20
SNAP,16,Call,16.00,05/15/20,21,0.92,0.94,0.95,0.93,15384,6407,2.4,60.46%,04/24/20
UBER,29.49,Call,30.00,05/01/20,7,0.89,0.9,0.90,0.90,5710,2388,2.39,69.04%,04/24/20
DG,175.98,Put,170.00,05/15/20,21,2.70,2.8,2.90,2.80,526,222,2.37,32.03%,04/24/20
MSFT,174.55,Put,165.00,03/19/21,329,18.70,19.3,19.90,19.64,1085,458,2.37,39.12%,04/24/20
MU,44.16,Call,44.00,05/01/20,7,1.23,1.26,1.28,1.23,1484,625,2.37,46.95%,04/24/20
ERI,17.82,Call,22.50,06/19/20,56,1.70,1.98,2.25,2.00,754,320,2.36,125.32%,04/24/20
JD,45.05,Call,46.00,05/01/20,7,0.60,0.62,0.64,0.62,961,408,2.36,40.64%,04/24/20
T,29.71,Call,29.00,05/01/20,7,0.94,0.99,1.03,1.00,1308,556,2.35,35.26%,04/24/20
BYND,108.78,Call,115.00,05/15/20,21,10.00,10.03,10.05,9.80,1796,763,2.35,118.47%,04/24/20
TEVA,10.22,Put,9.50,05/01/20,7,0.10,0.11,0.12,0.11,506,216,2.34,66.54%,04/24/20
PCG,10.61,Call,11.00,05/01/20,7,0.30,0.32,0.34,0.31,704,301,2.34,80.31%,04/24/20
ZM,158.8,Put,145.00,05/01/20,7,4.20,4.45,4.70,4.30,1324,567,2.34,115.63%,04/24/20
LVS,43.78,Call,48.00,05/01/20,7,0.25,0.32,0.38,0.40,592,254,2.33,69.45%,04/24/20
AAPL,282.97,Call,300.00,05/29/20,35,4.80,5,5.20,5.02,1237,532,2.33,31.95%,04/24/20
PTON,31.74,Call,35.00,05/01/20,7,0.51,0.63,0.74,0.67,2219,952,2.33,101.14%,04/24/20
INO,14.59,Put,10.50,05/01/20,7,0.40,0.45,0.50,0.50,521,225,2.32,275.10%,04/24/20
ZM,158.8,Call,180.00,06/19/20,56,15.30,16.7,18.10,16.05,613,264,2.32,95.67%,04/24/20
FCX,8.48,Put,8.50,05/01/20,7,0.29,0.32,0.35,0.30,908,391,2.32,62.04%,04/24/20
BA,128.98,Put,130.00,09/18/20,147,27.10,27.73,28.35,26.90,574,249,2.31,82.55%,04/24/20
XOM,43.73,Call,44.50,05/01/20,7,0.71,0.88,1.04,0.95,1251,547,2.29,53.14%,04/24/20
AXAS,0.3251,Call,2.50,12/18/20,238,0.05,0.1,0.15,0.11,726,320,2.27,251.36%,04/24/20
MAR,80.71,Put,70.00,05/01/20,7,0.55,0.58,0.60,0.58,869,383,2.27,89.63%,04/24/20
FCEL,2.09,Call,2.00,06/19/20,56,0.40,0.43,0.45,0.45,2384,1050,2.27,127.06%,04/24/20
AAPL,282.97,Call,295.00,05/01/20,7,2.28,2.39,2.50,2.40,5534,2449,2.26,42.39%,04/24/20
NAT,5.85,Call,7.00,10/16/20,175,1.35,1.43,1.50,1.38,508,226,2.25,109.27%,04/24/20
BYND,108.78,Call,110.00,06/19/20,56,14.50,15.33,16.15,15.16,531,236,2.25,92.23%,04/24/20
NFLX,424.99,Call,420.00,05/01/20,7,12.85,13.18,13.50,13.00,1491,663,2.25,43.96%,04/24/20
CTL,10.21,Call,10.00,05/01/20,7,0.31,0.36,0.41,0.39,633,283,2.24,48.51%,04/24/20
UAL,25.56,Put,18.00,01/15/21,266,3.90,4.08,4.25,4.16,1010,451,2.24,104.32%,04/24/20
LUV,29.33,Put,27.00,05/01/20,7,0.40,0.48,0.55,0.50,521,234,2.23,87.57%,04/24/20
INO,14.59,Put,8.00,05/01/20,7,0.10,0.13,0.15,0.10,702,315,2.23,275.44%,04/24/20
NFLX,424.99,Call,470.00,05/08/20,14,3.00,3.3,3.60,3.30,1050,470,2.23,49.11%,04/24/20
ZM,158.8,Call,165.00,05/01/20,7,6.40,6.7,7.00,6.60,1682,754,2.23,104.77%,04/24/20
ET,7.19,Call,7.50,05/01/20,7,0.16,0.17,0.18,0.17,4550,2036,2.23,73.79%,04/24/20
GS,177,Put,180.00,05/15/20,21,8.80,9.3,9.80,9.25,636,286,2.22,45.27%,04/24/20
TLRY,8.07,Put,6.50,05/01/20,7,0.18,0.2,0.22,0.20,855,385,2.22,183.29%,04/24/20
HSBC,24.98,Call,29.00,09/18/20,147,0.47,0.55,0.63,0.49,1090,492,2.22,26.56%,04/24/20
AAPL,282.97,Put,270.00,05/01/20,7,2.60,2.68,2.75,2.67,5934,2668,2.22,48.73%,04/24/20
AAL,10.31,Put,9.00,05/01/20,7,0.25,0.26,0.27,0.25,8155,3677,2.22,136.31%,04/24/20
T,29.71,Call,29.50,05/08/20,14,0.84,0.91,0.98,0.92,569,258,2.21,34.75%,04/24/20
FB,190.07,Call,192.50,05/01/20,7,6.05,6.13,6.20,6.15,2343,1058,2.21,68.93%,04/24/20
WFC,26.92,Call,27.00,05/01/20,7,0.57,0.65,0.73,0.71,1532,695,2.2,50.13%,04/24/20
JPM,90.71,Put,90.00,05/01/20,7,1.96,2.09,2.22,2.08,2089,951,2.2,48.65%,04/24/20
MA,258.76,Call,280.00,05/01/20,7,0.93,1.03,1.13,1.01,2767,1256,2.2,47.62%,04/24/20
GOLD,27.1,Call,27.00,05/01/20,7,0.95,0.98,1.00,0.96,3204,1456,2.2,60.65%,04/24/20
FB,190.07,Call,210.00,05/08/20,14,1.82,1.85,1.88,1.84,554,253,2.19,52.65%,04/24/20
CVNA,92.24,Call,115.00,05/15/20,21,1.25,1.65,2.05,2.05,566,259,2.19,94.50%,04/24/20
C,43.1,Put,43.50,05/15/20,21,2.95,3.03,3.10,3.40,2231,1024,2.18,77.64%,04/24/20
CERS,5.66,Call,6.00,05/15/20,21,0.20,0.23,0.25,0.20,4919,2259,2.18,61.41%,04/24/20
LLNW,5.52,Call,5.00,05/15/20,21,0.65,0.73,0.80,0.80,1115,514,2.17,98.67%,04/24/20
EXPE,66.57,Put,63.00,05/01/20,7,1.60,1.9,2.20,1.70,548,254,2.16,88.81%,04/24/20
PINS,20.62,Call,20.50,05/01/20,7,0.85,0.9,0.95,0.93,798,369,2.16,76.31%,04/24/20
NAT,5.85,Call,10.00,05/15/20,21,0.05,0.1,0.15,0.10,1013,470,2.16,157.26%,04/24/20
HTZ,3.71,Put,3.50,05/01/20,7,0.30,0.35,0.40,0.39,1300,605,2.15,246.39%,04/24/20
ZM,158.8,Call,240.00,05/15/20,21,0.90,1.18,1.45,1.10,2333,1087,2.15,106.22%,04/24/20
AAPL,282.97,Call,285.00,05/01/20,7,6.05,6.15,6.25,6.20,8128,3783,2.15,45.52%,04/24/20
TGT,107.82,Call,107.00,05/01/20,7,2.24,2.8,3.35,2.85,537,251,2.14,40.53%,04/24/20
ALB,61.53,Put,60.00,06/19/20,56,4.90,5.05,5.20,5.00,897,420,2.14,61.10%,04/24/20
WWE,44.79,Call,50.00,05/15/20,21,0.70,0.77,0.85,0.70,1354,633,2.14,54.63%,04/24/20
AMD,56.18,Put,55.00,05/01/20,7,2.10,2.14,2.18,2.15,4864,2273,2.14,88.13%,04/24/20
AVGO,264.81,Call,270.00,05/01/20,7,2.95,3.48,4.00,3.65,586,275,2.13,39.68%,04/24/20
TSLA,725.15,Put,700.00,05/01/20,7,36.10,36.55,37.00,36.60,1978,927,2.13,122.61%,04/24/20
WGO,39.62,Put,30.00,05/15/20,21,0.30,0.38,0.45,0.45,548,258,2.12,97.04%,04/24/20
KR,32.96,Put,31.00,05/15/20,21,0.46,0.5,0.53,0.50,654,309,2.12,40.83%,04/24/20
XLNX,89.74,Call,115.00,06/19/20,56,0.15,0.21,0.27,0.20,1739,820,2.12,34.99%,04/24/20
GOLD,27.1,Call,29.00,05/01/20,7,0.27,0.31,0.34,0.33,1962,925,2.12,64.95%,04/24/20
BA,128.98,Call,140.00,05/01/20,7,3.55,3.6,3.65,3.60,3083,1451,2.12,106.62%,04/24/20
TSLA,725.15,Call,1100.00,05/01/20,7,1.60,1.65,1.70,1.65,742,352,2.11,151.52%,04/24/20
MYL,15.76,Put,15.00,05/15/20,21,0.61,0.83,1.05,0.87,1335,634,2.11,82.84%,04/24/20
HTZ,3.71,Call,5.00,05/15/20,21,0.25,0.33,0.40,0.36,1937,917,2.11,208.54%,04/24/20
INO,14.59,Put,13.00,05/01/20,7,1.35,1.53,1.70,1.37,697,332,2.1,273.52%,04/24/20
BIDU,100.95,Call,103.00,05/01/20,7,1.00,1.28,1.55,1.24,1157,552,2.1,37.28%,04/24/20
MRO,4.93,Call,5.50,05/01/20,7,0.09,0.1,0.10,0.10,1990,947,2.1,105.46%,04/24/20
TSLA,725.15,Call,730.00,05/01/20,7,46.10,46.58,47.05,46.60,862,412,2.09,121.83%,04/24/20
LVS,43.78,Call,45.00,05/01/20,7,1.03,1.13,1.22,1.09,1053,503,2.09,66.24%,04/24/20
BYND,108.78,Call,200.00,07/17/20,84,2.05,2.28,2.50,2.14,726,349,2.08,88.69%,04/24/20
APA,10.69,Call,17.50,01/15/21,266,1.81,1.95,2.09,2.10,1290,621,2.08,103.59%,04/24/20
NFLX,424.99,Put,390.00,05/01/20,7,1.21,1.32,1.42,1.30,2389,1150,2.08,48.59%,04/24/20
AAPL,282.97,Put,277.50,05/01/20,7,4.95,5.1,5.25,5.00,3954,1902,2.08,48.08%,04/24/20
ROKU,124.83,Call,126.00,05/01/20,7,4.55,4.78,5.00,4.64,504,244,2.07,74.96%,04/24/20
BA,128.98,Put,100.00,05/08/20,14,1.85,1.93,2.00,1.92,1392,671,2.07,120.85%,04/24/20
NFLX,424.99,Call,445.00,05/01/20,7,3.65,3.88,4.10,3.70,1539,743,2.07,45.28%,04/24/20
AAPL,282.97,Put,262.50,05/01/20,7,1.28,1.35,1.41,1.33,1415,687,2.06,50.05%,04/24/20
NFLX,424.99,Put,420.00,05/01/20,7,8.10,8.3,8.50,8.40,1776,864,2.06,46.07%,04/24/20
TLRY,8.07,Call,7.00,05/01/20,7,1.16,1.26,1.35,1.27,4708,2287,2.06,140.88%,04/24/20
TSLA,725.15,Put,715.00,05/01/20,7,43.35,44.65,45.95,44.21,545,266,2.05,123.82%,04/24/20
NFLX,424.99,Put,410.00,05/01/20,7,4.55,4.73,4.90,4.55,1496,728,2.05,45.09%,04/24/20
MU,44.16,Call,46.00,05/01/20,7,0.44,0.46,0.48,0.46,2667,1301,2.05,46.23%,04/24/20
IBM,124.72,Put,120.00,05/01/20,7,0.82,0.83,0.83,0.82,869,425,2.04,37.16%,04/24/20
AMD,56.18,Put,57.00,05/01/20,7,3.10,3.15,3.20,3.10,1980,971,2.04,85.69%,04/24/20
TLRY,8.07,Call,10.00,05/01/20,7,0.33,0.35,0.36,0.36,3354,1647,2.04,213.05%,04/24/20
AMD,56.18,Call,56.00,05/01/20,7,2.77,2.8,2.82,2.78,5210,2555,2.04,86.63%,04/24/20
