Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
NVDA,289.59,Put,277.50,05/01/20,7,3.50,3.65,3.80,3.50,1041,166,6.27,52.24%,04/24/20
HTZ,3.71,Put,5.00,06/19/20,56,0.90,1.53,2.15,1.80,2025,326,6.21,155.88%,04/24/20
INTC,59.26,Call,58.50,05/01/20,7,1.67,1.73,1.80,1.68,1221,199,6.14,38.61%,04/24/20
M,5.02,Call,5.00,05/01/20,7,0.29,0.31,0.33,0.32,6956,1133,6.14,111.88%,04/24/20
ZM,158.8,Put,150.00,05/08/20,14,8.70,8.9,9.10,8.96,917,150,6.11,107.28%,04/24/20
EMR,53.82,Call,62.50,06/19/20,56,0.55,0.6,0.65,0.65,2567,420,6.11,36.57%,04/24/20
FB,190.07,Call,207.50,05/01/20,7,1.80,1.83,1.85,1.83,1124,185,6.08,68.73%,04/24/20
GO,34.88,Call,35.00,07/17/20,84,2.95,3.03,3.10,3.10,832,137,6.07,46.71%,04/24/20
AMD,56.18,Put,32.00,10/16/20,175,1.31,1.38,1.44,1.35,1271,212,6,72.71%,04/24/20
NFLX,424.99,Call,430.00,05/01/20,7,7.75,8.13,8.50,8.10,6505,1084,6,43.93%,04/24/20
INO,14.59,Put,15.00,05/15/20,21,3.60,3.75,3.90,3.78,634,106,5.98,256.72%,04/24/20
AGN,186.9,Put,175.00,05/15/20,21,3.00,3.7,4.40,4.25,794,134,5.93,52.12%,04/24/20
ERI,17.82,Put,15.00,06/19/20,56,2.20,2.28,2.35,2.30,1560,265,5.89,140.38%,04/24/20
CCJ,10.18,Put,9.50,05/01/20,7,0.15,0.18,0.20,0.20,662,113,5.86,85.33%,04/24/20
TSLA,725.15,Put,670.00,05/01/20,7,23.80,24.25,24.70,24.50,907,155,5.85,122.37%,04/24/20
AMRN,7.53,Call,7.50,05/15/20,21,0.69,0.73,0.77,0.75,641,110,5.83,102.13%,04/24/20
ZM,158.8,Call,175.00,05/01/20,7,3.30,3.5,3.70,3.54,4633,798,5.81,103.39%,04/24/20
INTC,59.26,Put,58.50,05/01/20,7,0.94,0.97,1.00,0.97,1425,246,5.79,40.61%,04/24/20
ET,7.19,Put,6.50,05/08/20,14,0.22,0.25,0.28,0.24,787,138,5.7,96.32%,04/24/20
CCI,161.61,Put,150.00,05/15/20,21,1.90,2.13,2.35,2.37,899,158,5.69,44.65%,04/24/20
FCX,8.48,Call,9.00,05/29/20,35,0.46,0.56,0.66,0.56,982,173,5.68,73.28%,04/24/20
SYY,53.08,Put,52.00,05/01/20,7,1.25,1.35,1.45,1.12,622,110,5.65,55.39%,04/24/20
BABA,204.36,Call,202.50,05/01/20,7,4.70,4.95,5.20,4.85,824,146,5.64,34.01%,04/24/20
