Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
BAC,22.84,Call,24.00,06/12/20,36,0.71,0.74,0.77,0.74,1687,130,12.98,41.73%,05/07/20
NVDA,304.87,Put,305.00,05/08/20,1,2.85,3.05,3.25,3.00,2977,231,12.89,46.17%,05/07/20
RDFN,22.65,Put,19.00,05/15/20,8,0.60,0.63,0.65,0.60,4715,367,12.85,154.57%,05/07/20
AAPL,303.74,Put,320.00,05/08/20,1,16.55,17.18,17.80,17.15,1278,102,12.53,87.29%,05/07/20
DBX,21.89,Call,22.50,05/08/20,1,1.05,1.08,1.10,1.10,1606,129,12.45,298.80%,05/07/20
HEAR,11.49,Call,12.00,06/19/20,43,1.60,1.65,1.70,1.60,2463,200,12.32,114.97%,05/07/20
DBX,21.89,Call,23.00,05/15/20,8,1.05,1.08,1.10,1.10,11001,905,12.16,120.23%,05/07/20
TSLA,780.04,Put,770.00,05/08/20,1,6.00,6.18,6.35,6.00,15956,1318,12.11,63.39%,05/07/20
NET,29.52,Call,28.00,05/15/20,8,3.20,3.3,3.40,3.30,4927,412,11.96,145.21%,05/07/20
EXC,35.04,Call,37.00,07/17/20,71,1.25,1.3,1.35,1.25,2114,178,11.88,32.41%,05/07/20
M,5.08,Put,7.00,01/15/21,253,2.87,2.94,3.00,2.89,2580,222,11.62,93.88%,05/07/20
SQ,74.62,Put,71.00,05/08/20,1,0.19,0.23,0.27,0.21,2275,197,11.55,84.49%,05/07/20
NET,29.52,Put,24.00,05/15/20,8,0.50,0.53,0.55,0.46,1981,178,11.13,140.23%,05/07/20
TWLO,170.89,Call,165.00,05/15/20,8,11.40,11.6,11.80,11.96,1667,151,11.04,87.49%,05/07/20
AMH,25.28,Call,25.00,05/15/20,8,0.65,0.85,1.05,0.87,2037,185,11.01,48.33%,05/07/20
ZM,157.8,Put,150.00,05/08/20,1,0.25,0.28,0.30,0.28,6130,562,10.91,75.04%,05/07/20
WFC,25.23,Call,27.50,06/19/20,43,0.82,0.84,0.85,0.81,88644,8145,10.88,47.10%,05/07/20
CNX,10.08,Put,10.00,07/17/20,71,1.29,1.39,1.48,1.29,1719,160,10.74,76.43%,05/07/20
CMCSA,35.58,Put,30.00,07/17/20,71,0.61,0.66,0.70,0.63,4805,452,10.63,43.65%,05/07/20
PTON,44.12,Call,50.00,06/19/20,43,2.96,3.03,3.10,3.10,4605,434,10.61,86.21%,05/07/20
LYFT,31.78,Call,33.50,05/08/20,1,0.18,0.22,0.25,0.25,1536,145,10.59,124.13%,05/07/20
UBER,30.93,Call,30.50,05/15/20,8,2.21,2.26,2.31,2.27,3076,292,10.53,112.77%,05/07/20
ADVM,19.7,Put,20.00,05/15/20,8,1.50,1.68,1.85,1.55,1219,116,10.51,119.41%,05/07/20
TSLA,780.04,Call,785.00,05/15/20,8,29.80,30.23,30.65,30.00,3776,364,10.37,69.96%,05/07/20
TSLA,780.04,Put,780.00,05/08/20,1,10.00,10.3,10.60,10.70,11809,1140,10.36,65.90%,05/07/20
MRK,75.6,Call,77.00,05/15/20,8,0.72,1.05,1.37,0.78,1674,163,10.27,30.17%,05/07/20
SPCE,19.84,Put,19.00,05/08/20,1,0.15,0.18,0.20,0.19,2504,246,10.18,123.93%,05/07/20
PYPL,146.29,Call,145.00,05/08/20,1,2.29,2.45,2.60,2.62,17648,1736,10.17,62.57%,05/07/20
LYFT,31.78,Put,30.50,05/08/20,1,0.34,0.41,0.47,0.36,1521,152,10.01,131.02%,05/07/20
CGEN,14.33,Call,15.00,05/15/20,8,1.15,1.17,1.20,1.20,5122,514,9.96,174.83%,05/07/20
PYPL,146.29,Call,150.00,05/08/20,1,0.56,0.63,0.70,0.66,17402,1761,9.88,64.22%,05/07/20
WORK,29.95,Call,30.50,05/08/20,1,0.35,0.4,0.45,0.42,3148,321,9.81,104.33%,05/07/20
GPS,7.42,Call,10.00,09/18/20,134,0.60,0.63,0.66,0.60,1907,195,9.78,74.87%,05/07/20
PTON,44.12,Put,38.00,05/15/20,8,0.43,0.46,0.50,0.44,1527,157,9.73,96.19%,05/07/20
WYNN,79.6,Call,90.00,05/22/20,15,0.46,1.03,1.59,1.23,1020,105,9.71,68.69%,05/07/20
UBER,30.93,Put,31.00,05/15/20,8,2.08,2.11,2.13,2.12,3720,383,9.71,114.39%,05/07/20
SPCE,19.84,Put,20.00,05/08/20,1,0.31,0.49,0.66,0.62,3089,320,9.65,129.03%,05/07/20
PTON,44.12,Put,32.00,07/17/20,71,1.40,1.5,1.60,1.50,1165,122,9.55,85.14%,05/07/20
SQ,74.62,Put,70.00,05/15/20,8,0.88,0.94,0.99,0.90,5430,588,9.23,60.55%,05/07/20
STAY,10.51,Call,17.00,12/18/20,225,0.15,0.28,0.40,0.30,1001,109,9.18,50.66%,05/07/20
LYFT,31.78,Put,31.00,05/15/20,8,1.25,1.28,1.30,1.23,1585,174,9.11,86.02%,05/07/20
HEAR,11.49,Call,14.00,05/15/20,8,0.60,0.63,0.65,0.60,2185,240,9.1,205.98%,05/07/20
SQ,74.62,Call,80.00,05/22/20,15,1.34,1.4,1.45,1.38,2547,282,9.03,54.50%,05/07/20
UBER,30.93,Call,31.50,05/08/20,1,1.22,1.34,1.45,1.40,7498,834,8.99,256.26%,05/07/20
TWLO,170.89,Call,160.00,05/08/20,1,11.15,11.7,12.25,12.80,2412,271,8.9,167.83%,05/07/20
TSLA,780.04,Call,790.00,05/08/20,1,6.30,6.5,6.70,6.45,11169,1261,8.86,65.22%,05/07/20
ROKU,137.5,Put,130.00,05/08/20,1,3.00,3.75,4.50,4.00,2717,307,8.85,255.66%,05/07/20
GGAL,7.84,Call,7.50,06/19/20,43,1.20,1.28,1.35,1.23,2091,237,8.82,100.06%,05/07/20
ZM,157.8,Call,165.00,05/08/20,1,0.60,0.7,0.80,0.71,13293,1513,8.79,90.44%,05/07/20
ROKU,137.5,Call,175.00,05/08/20,1,0.70,0.74,0.78,0.72,2353,268,8.78,306.25%,05/07/20
LYFT,31.78,Call,33.00,05/08/20,1,0.25,0.33,0.40,0.37,6189,707,8.75,124.67%,05/07/20
DBX,21.89,Call,23.00,05/08/20,1,0.90,0.93,0.95,0.93,2562,296,8.66,302.50%,05/07/20
ORCL,52.6,Put,52.00,05/15/20,8,0.68,0.74,0.79,0.72,1913,222,8.62,32.30%,05/07/20
SDC,7.56,Call,7.00,05/15/20,8,1.00,1.03,1.05,1.05,20457,2373,8.62,171.52%,05/07/20
MCHP,85.5,Call,87.00,05/08/20,1,0.15,1.05,1.95,1.10,1025,119,8.61,97.04%,05/07/20
GOLD,27.26,Call,40.00,01/15/21,253,1.34,1.37,1.40,1.36,4699,547,8.59,50.03%,05/07/20
RRR,10.2,Call,12.50,05/15/20,8,0.20,0.23,0.25,0.22,6643,774,8.58,144.34%,05/07/20
DAL,21.68,Call,23.50,05/15/20,8,0.49,0.5,0.51,0.48,3116,364,8.56,87.80%,05/07/20
NEM,64.56,Call,66.00,05/22/20,15,1.71,1.8,1.89,1.93,864,101,8.55,48.74%,05/07/20
HD,229.45,Call,232.50,05/08/20,1,0.53,0.71,0.88,0.59,1705,201,8.48,35.12%,05/07/20
SPCE,19.84,Call,21.00,05/08/20,1,0.11,0.16,0.20,0.16,13335,1594,8.37,131.00%,05/07/20
UBER,30.93,Call,32.50,05/08/20,1,0.89,0.95,1.00,1.00,9167,1097,8.36,252.16%,05/07/20
JD,44.76,Call,50.00,07/17/20,71,1.70,1.76,1.82,1.67,1064,128,8.31,44.25%,05/07/20
ROKU,137.5,Call,114.00,05/08/20,1,23.45,24.2,24.95,23.29,1122,135,8.31,0.00%,05/07/20
CTL,9.52,Call,10.00,10/16/20,162,0.85,0.94,1.02,0.95,1076,131,8.21,44.58%,05/07/20
PYPL,146.29,Put,130.00,05/15/20,8,0.37,0.4,0.42,0.40,2765,339,8.16,56.20%,05/07/20
BAC,22.84,Put,22.00,06/05/20,29,0.88,0.91,0.93,0.93,992,122,8.13,52.31%,05/07/20
ATEN,7.02,Call,7.50,05/15/20,8,0.20,0.23,0.25,0.24,1924,237,8.12,102.32%,05/07/20
GRUB,44.89,Call,45.00,05/08/20,1,0.75,1.1,1.45,0.94,1183,147,8.05,105.85%,05/07/20
UBER,30.93,Put,29.00,05/08/20,1,0.85,0.98,1.10,0.88,7659,956,8.01,267.37%,05/07/20
AAL,9.54,Call,5.00,06/19/20,43,4.55,4.73,4.90,4.55,1873,234,8,71.89%,05/07/20
UBER,30.93,Put,30.50,05/15/20,8,1.83,1.88,1.93,1.87,1167,146,7.99,114.93%,05/07/20
ROKU,137.5,Call,133.00,05/15/20,8,11.30,11.95,12.60,11.40,891,112,7.96,112.18%,05/07/20
PTON,44.12,Call,44.00,05/15/20,8,2.48,2.62,2.76,2.55,3379,427,7.91,95.51%,05/07/20
ZM,157.8,Put,152.50,05/08/20,1,0.60,0.7,0.80,0.65,2382,302,7.89,75.25%,05/07/20
AAPL,303.74,Call,130.00,01/21/22,624,173.65,175.53,177.40,174.43,875,111,7.88,18.23%,05/07/20
LYFT,31.78,Call,32.00,05/08/20,1,0.65,0.71,0.77,0.74,4640,589,7.88,126.91%,05/07/20
DDOG,49.61,Call,55.00,06/19/20,43,2.55,2.78,3.00,2.90,870,111,7.84,71.81%,05/07/20
NVDA,304.87,Call,305.00,05/22/20,15,14.05,14.38,14.70,14.25,1706,218,7.83,57.76%,05/07/20
OSTK,15.93,Call,20.00,05/15/20,8,0.35,0.4,0.45,0.40,8703,1117,7.79,163.20%,05/07/20
ZM,157.8,Call,170.00,05/22/20,15,4.50,5.5,6.50,5.70,957,123,7.78,80.72%,05/07/20
PTON,44.12,Call,45.00,05/08/20,1,0.72,0.77,0.82,0.80,42872,5514,7.78,127.69%,05/07/20
YETI,28.32,Call,30.00,08/21/20,106,2.85,3.18,3.50,2.93,1005,130,7.73,58.75%,05/07/20
UBER,30.93,Call,37.00,05/08/20,1,0.13,0.15,0.17,0.15,1555,203,7.66,241.23%,05/07/20
GS,182.32,Call,200.00,05/29/20,22,1.17,1.24,1.31,1.26,773,102,7.58,35.58%,05/07/20
FISV,107.32,Put,105.00,05/15/20,8,2.45,2.6,2.75,2.72,4142,548,7.56,60.31%,05/07/20
ROKU,137.5,Call,115.00,05/08/20,1,22.55,23.1,23.65,23.60,3606,479,7.53,288.21%,05/07/20
PYPL,146.29,Put,130.00,06/19/20,43,2.18,2.32,2.46,2.39,2350,313,7.51,42.95%,05/07/20
LULU,225.99,Put,212.50,05/08/20,1,0.15,0.29,0.43,0.19,1320,176,7.5,73.06%,05/07/20
TXN,113.65,Call,115.00,05/08/20,1,0.43,0.59,0.75,0.50,1302,174,7.48,43.44%,05/07/20
DRI,70.53,Call,85.00,06/19/20,43,1.20,1.33,1.45,1.30,1036,139,7.45,55.62%,05/07/20
FB,211.26,Put,210.00,05/08/20,1,0.87,1.01,1.15,0.97,13659,1835,7.44,34.57%,05/07/20
LYFT,31.78,Put,30.00,05/08/20,1,0.22,0.26,0.30,0.24,5467,736,7.43,131.78%,05/07/20
UAL,22.75,Put,18.00,06/18/21,407,5.90,6.18,6.45,6.19,1557,211,7.38,104.83%,05/07/20
LYFT,31.78,Call,31.00,05/08/20,1,1.23,1.4,1.56,1.40,4012,544,7.38,146.39%,05/07/20
TSLA,780.04,Put,785.00,05/08/20,1,11.25,12.65,14.05,13.50,5508,746,7.38,66.44%,05/07/20
DIS,105.57,Put,104.00,05/08/20,1,0.40,0.46,0.52,0.50,9238,1255,7.36,50.94%,05/07/20
SPCE,19.84,Put,19.50,05/08/20,1,0.31,0.36,0.41,0.34,991,135,7.34,119.73%,05/07/20
BA,128.65,Call,131.00,05/08/20,1,0.85,1.15,1.44,1.09,7749,1061,7.3,75.74%,05/07/20
AAL,9.54,Put,7.00,11/20/20,197,2.34,2.5,2.65,2.52,10430,1430,7.29,162.25%,05/07/20
TRN,17.96,Put,18.00,06/19/20,43,1.20,1.25,1.30,1.10,750,103,7.28,44.51%,05/07/20
FCX,8.97,Put,7.00,01/15/21,253,0.97,1.03,1.09,1.00,2156,297,7.26,71.09%,05/07/20
BAC,22.84,Call,20.00,05/22/20,15,2.95,3.03,3.10,3.06,746,103,7.24,63.05%,05/07/20
ROKU,137.5,Call,139.00,05/08/20,1,5.40,6.48,7.55,7.29,1387,192,7.22,277.90%,05/07/20
SQ,74.62,Put,64.50,05/15/20,8,0.23,0.26,0.29,0.25,1208,169,7.15,69.46%,05/07/20
ROKU,137.5,Call,165.00,05/08/20,1,1.25,1.3,1.35,1.26,3448,486,7.09,288.82%,05/07/20
TSLA,780.04,Call,850.00,05/08/20,1,0.51,0.52,0.53,0.52,35430,5008,7.07,90.09%,05/07/20
CVS,61.45,Put,50.00,11/20/20,197,2.27,2.42,2.56,2.33,1228,175,7.02,41.00%,05/07/20
C,44.64,Put,46.00,05/08/20,1,1.57,1.64,1.70,1.61,4270,608,7.02,78.32%,05/07/20
PTON,44.12,Call,50.00,05/15/20,8,0.89,0.93,0.96,0.94,24242,3464,7,108.39%,05/07/20
GILD,77.61,Call,78.50,05/08/20,1,0.39,0.44,0.49,0.46,2293,330,6.95,50.88%,05/07/20
SPWR,7.26,Call,7.50,05/08/20,1,0.24,0.32,0.40,0.29,1616,233,6.94,258.78%,05/07/20
UBER,30.93,Call,33.00,05/08/20,1,0.77,0.79,0.80,0.85,10302,1488,6.92,252.93%,05/07/20
AAL,9.54,Call,5.00,05/29/20,22,4.00,4.48,4.95,4.65,700,102,6.86,184.60%,05/07/20
AAPL,303.74,Put,305.00,05/08/20,1,2.97,3.31,3.65,3.15,15015,2189,6.86,38.95%,05/07/20
AAPL,303.74,Call,90.00,01/15/21,253,212.70,213.8,214.90,213.40,849,125,6.79,7.91%,05/07/20
STAY,10.51,Call,13.00,12/18/20,225,0.75,1,1.25,1.11,1000,148,6.76,57.70%,05/07/20
PYPL,146.29,Call,150.00,05/15/20,8,1.75,1.9,2.05,2.05,12536,1855,6.76,41.04%,05/07/20
AAPL,303.74,Call,100.00,01/15/21,253,202.80,203.55,204.30,203.38,12806,1906,6.72,23.44%,05/07/20
HPQ,14.95,Call,15.50,05/15/20,8,0.17,0.2,0.23,0.18,1052,157,6.7,43.85%,05/07/20
ROKU,137.5,Call,138.00,05/15/20,8,9.00,9.33,9.65,9.41,1137,170,6.69,118.64%,05/07/20
DBX,21.89,Call,21.50,05/15/20,8,1.70,1.85,2.00,1.70,1278,191,6.69,116.73%,05/07/20
UBER,30.93,Call,32.50,05/15/20,8,1.19,1.28,1.36,1.36,1513,227,6.67,109.40%,05/07/20
CAKE,20.6,Call,22.50,06/19/20,43,1.40,1.45,1.50,1.41,2599,392,6.63,75.52%,05/07/20
MGNX,20.73,Put,7.50,06/19/20,43,0.30,0.48,0.65,0.40,1178,178,6.62,225.01%,05/07/20
DBX,21.89,Call,25.00,05/15/20,8,0.55,0.58,0.60,0.59,2722,413,6.59,124.05%,05/07/20
AMZN,2364.55,Put,2360.00,05/08/20,1,8.70,10.15,11.60,11.00,1094,167,6.55,26.74%,05/07/20
MMM,145.74,Call,146.00,05/08/20,1,0.09,0.43,0.76,0.56,778,119,6.54,22.32%,05/07/20
PINS,18.7,Call,18.00,05/08/20,1,0.65,0.7,0.75,0.75,13803,2112,6.54,68.97%,05/07/20
Z,48.56,Call,50.00,05/08/20,1,2.40,2.43,2.45,2.45,875,134,6.53,303.19%,05/07/20
PSTG,14.97,Call,15.00,06/19/20,43,1.35,1.43,1.50,1.46,1252,193,6.49,71.56%,05/07/20
SAVE,10.51,Call,10.00,05/15/20,8,1.10,1.13,1.15,1.13,2237,346,6.47,140.48%,05/07/20
CGC,15.44,Call,16.50,05/15/20,8,0.31,0.32,0.32,0.33,1331,206,6.46,78.66%,05/07/20
SFL,10.14,Call,10.00,11/20/20,197,1.00,1.25,1.50,1.20,1631,253,6.45,37.23%,05/07/20
CRWD,75.49,Call,77.00,05/08/20,1,0.50,0.55,0.60,0.54,663,103,6.44,71.51%,05/07/20
AAPL,303.74,Call,110.00,01/15/21,253,192.70,193.8,194.90,194.00,1900,295,6.44,40.32%,05/07/20
OMC,53.63,Put,47.50,06/19/20,43,1.30,1.45,1.60,1.11,1500,234,6.41,48.29%,05/07/20
DOCU,117.7,Call,135.00,06/19/20,43,3.10,3.5,3.90,3.70,1922,300,6.41,58.09%,05/07/20
ZM,157.8,Call,160.00,05/08/20,1,1.75,1.8,1.85,1.77,14491,2264,6.4,82.22%,05/07/20
ROKU,137.5,Call,160.00,05/08/20,1,1.83,1.84,1.85,1.83,4466,702,6.36,287.38%,05/07/20
BILL,73.22,Put,60.00,06/19/20,43,5.80,6.45,7.10,7.52,1848,291,6.35,145.89%,05/07/20
HAL,10.01,Put,9.50,05/15/20,8,0.30,0.31,0.32,0.31,5127,807,6.35,91.60%,05/07/20
DHR,163.48,Put,160.00,05/15/20,8,1.80,2.13,2.45,2.00,4065,641,6.34,36.47%,05/07/20
AAPL,303.74,Put,302.50,05/08/20,1,1.70,1.76,1.81,1.75,17447,2755,6.33,36.69%,05/07/20
ZM,157.8,Call,162.50,05/08/20,1,0.90,1.03,1.15,1.07,4785,758,6.31,84.23%,05/07/20
AAPL,303.74,Call,105.00,01/15/21,253,197.70,198.8,199.90,198.30,2050,326,6.29,26.75%,05/07/20
TRN,17.96,Call,19.00,06/19/20,43,0.70,0.75,0.80,0.80,750,120,6.25,49.13%,05/07/20
ERI,19.37,Call,20.00,09/18/20,134,5.10,5.25,5.40,5.25,3035,490,6.19,118.66%,05/07/20
PFE,36.96,Call,37.00,05/08/20,1,0.25,0.33,0.40,0.24,674,109,6.18,33.53%,05/07/20
SBUX,76,Call,90.00,10/16/20,162,2.40,2.47,2.55,2.50,3356,545,6.16,33.60%,05/07/20
AAPL,303.74,Call,80.00,01/15/21,253,222.70,223.77,224.85,223.05,615,100,6.15,0.00%,05/07/20
WFC,25.23,Call,25.00,06/19/20,43,1.80,1.84,1.88,1.88,11651,1897,6.14,50.77%,05/07/20
BHC,15.87,Call,16.00,05/15/20,8,0.48,0.62,0.76,0.53,741,121,6.12,62.78%,05/07/20
NET,29.52,Call,27.00,05/15/20,8,3.10,3.55,4.00,3.70,2652,436,6.08,132.72%,05/07/20
ROKU,137.5,Call,148.00,05/08/20,1,3.60,3.85,4.10,4.14,753,124,6.07,280.85%,05/07/20
PYPL,146.29,Call,145.00,05/29/20,22,5.65,5.88,6.10,5.90,822,136,6.04,36.25%,05/07/20
BYND,122.66,Put,130.00,05/08/20,1,8.15,8.45,8.75,9.00,1162,194,5.99,166.59%,05/07/20
DBX,21.89,Call,23.50,05/15/20,8,0.90,0.98,1.05,0.95,668,112,5.96,121.65%,05/07/20
SQ,74.62,Put,70.00,05/08/20,1,0.12,0.14,0.16,0.15,5157,867,5.95,92.12%,05/07/20
REFR,3.27,Call,2.50,05/15/20,8,0.70,0.77,0.85,0.65,1151,194,5.93,0.00%,05/07/20
LW,55.42,Call,70.00,10/16/20,162,0.10,1.55,3.00,1.95,702,119,5.9,41.35%,05/07/20
LYFT,31.78,Call,31.50,05/08/20,1,0.87,0.96,1.04,0.99,2000,341,5.87,127.47%,05/07/20
TSLA,780.04,Call,785.00,05/08/20,1,8.20,8.35,8.50,8.30,6792,1162,5.85,64.77%,05/07/20
ROKU,137.5,Call,170.00,05/08/20,1,0.91,0.95,0.98,0.98,4216,722,5.84,300.18%,05/07/20
SPCE,19.84,Call,21.00,05/15/20,8,0.95,1,1.05,0.98,5310,914,5.81,123.46%,05/07/20
FSLY,33.58,Call,29.00,05/15/20,8,4.50,4.85,5.20,4.40,1176,203,5.79,54.22%,05/07/20
TSLA,780.04,Call,780.00,05/08/20,1,9.85,10.33,10.80,10.60,10481,1812,5.78,64.87%,05/07/20
ROKU,137.5,Put,125.00,05/08/20,1,2.01,2.28,2.55,2.42,3378,588,5.74,254.20%,05/07/20
MRNA,53.19,Call,54.00,05/08/20,1,0.60,0.8,1.00,0.95,3316,579,5.73,117.50%,05/07/20
HD,229.45,Put,227.50,05/08/20,1,0.89,1.02,1.15,1.10,875,153,5.72,40.30%,05/07/20
DBX,21.89,Call,22.00,06/19/20,43,1.90,1.95,2.00,1.95,978,171,5.72,66.35%,05/07/20
SPCE,19.84,Call,20.50,05/08/20,1,0.19,0.23,0.27,0.21,4376,767,5.71,111.04%,05/07/20
SEAS,14.73,Call,15.00,05/08/20,1,0.20,0.45,0.70,0.70,650,114,5.7,266.90%,05/07/20
LYFT,31.78,Put,33.00,05/08/20,1,1.43,1.53,1.62,1.50,2337,410,5.7,108.77%,05/07/20
BYND,122.66,Put,120.00,05/29/20,22,7.70,8.25,8.80,8.60,569,100,5.69,83.63%,05/07/20
ROKU,137.5,Put,127.00,05/08/20,1,2.95,4.18,5.40,3.43,1692,298,5.68,273.70%,05/07/20
BA,128.65,Call,133.00,05/08/20,1,0.53,0.62,0.70,0.69,3470,612,5.67,81.19%,05/07/20
BA,128.65,Call,130.00,05/08/20,1,1.50,1.53,1.55,1.50,18465,3283,5.62,77.94%,05/07/20
ZM,157.8,Put,160.00,05/08/20,1,3.90,4.1,4.30,3.97,2170,387,5.61,82.40%,05/07/20
SPWR,7.26,Call,7.50,05/15/20,8,0.46,0.49,0.52,0.52,3766,677,5.56,145.26%,05/07/20
TSLA,780.04,Call,800.00,05/08/20,1,3.90,3.97,4.05,4.00,25411,4567,5.56,68.34%,05/07/20
PYPL,146.29,Call,155.00,06/19/20,43,3.50,3.6,3.70,3.65,2854,516,5.53,34.45%,05/07/20
QSR,50.37,Put,45.00,10/16/20,162,3.90,4.05,4.20,4.20,590,107,5.51,52.86%,05/07/20
