Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
PINS,18.7,Put,14.00,06/19/20,43,0.25,0.28,0.30,0.29,21852,130,168.09,76.92%,05/07/20
SQ,74.62,Put,75.00,05/08/20,1,1.21,1.26,1.30,1.29,14903,145,102.78,69.84%,05/07/20
ANGI,8.05,Call,12.50,08/21/20,106,0.35,0.45,0.55,0.50,9237,132,69.98,91.46%,05/07/20
XOM,44.24,Call,47.50,05/22/20,15,0.32,0.33,0.35,0.34,10252,179,57.27,37.83%,05/07/20
SQ,74.62,Put,75.00,05/15/20,8,2.59,2.63,2.67,2.65,6598,119,55.45,55.85%,05/07/20
PTON,44.12,Put,42.00,05/08/20,1,0.34,0.37,0.39,0.34,10064,186,54.11,120.93%,05/07/20
MSFT,183.6,Call,195.00,06/12/20,36,1.95,2.03,2.11,2.05,7499,162,46.29,25.59%,05/07/20
LYFT,31.78,Put,32.00,05/08/20,1,0.90,0.93,0.95,0.87,5690,129,44.11,113.48%,05/07/20
INVA,13.63,Put,10.00,09/18/20,134,0.25,0.43,0.60,0.46,4048,100,40.48,60.59%,05/07/20
T,28.89,Put,29.50,05/22/20,15,0.97,1.02,1.06,0.98,18642,483,38.6,27.10%,05/07/20
UBER,30.93,Call,36.00,05/08/20,1,0.16,0.2,0.23,0.20,8445,227,37.2,230.47%,05/07/20
BFYT,21.61,Call,30.00,07/17/20,71,0.85,1.1,1.35,1.09,3884,125,31.07,87.83%,05/07/20
UBER,30.93,Call,33.50,05/15/20,8,1.00,1.02,1.04,1.02,5184,186,27.87,107.98%,05/07/20
PTON,44.12,Call,65.00,01/21/22,624,10.90,11.05,11.20,10.95,2857,104,27.47,71.33%,05/07/20
LUV,25.45,Call,26.50,05/08/20,1,0.05,0.1,0.15,0.10,12225,450,27.17,80.92%,05/07/20
JD,44.76,Put,44.50,05/08/20,1,0.38,0.4,0.41,0.39,3068,114,26.91,54.74%,05/07/20
FLIR,47.9,Put,40.00,06/19/20,43,0.65,0.75,0.85,0.80,5273,204,25.85,56.69%,05/07/20
NET,29.52,Call,35.00,05/15/20,8,1.05,1.08,1.10,1.10,7735,313,24.71,163.32%,05/07/20
LYFT,31.78,Put,32.50,05/08/20,1,1.05,1.16,1.26,1.20,4961,215,23.07,117.59%,05/07/20
UAA,9.61,Put,8.00,05/15/20,8,0.18,0.24,0.29,0.19,7584,331,22.91,140.98%,05/07/20
NET,29.52,Call,29.00,05/15/20,8,2.75,2.85,2.95,2.85,3934,172,22.87,149.46%,05/07/20
PTON,44.12,Put,35.00,06/19/20,43,1.41,1.45,1.49,1.41,2300,103,22.33,86.01%,05/07/20
ROKU,137.5,Put,135.00,05/08/20,1,6.00,6.5,7.00,6.55,2495,114,21.89,272.22%,05/07/20
STNG,19.44,Put,19.00,06/19/20,43,2.70,2.78,2.85,3.06,2209,104,21.24,126.06%,05/07/20
GOOGL,1369.28,Call,1375.00,06/19/20,43,48.30,51.05,53.80,49.90,3026,143,21.16,27.54%,05/07/20
CNK,13.61,Call,20.00,09/18/20,134,1.35,1.43,1.50,1.35,3011,150,20.07,92.91%,05/07/20
UAL,22.75,Put,13.00,01/15/21,253,2.74,2.82,2.90,2.85,10027,505,19.86,120.25%,05/07/20
DDOG,49.61,Call,55.00,05/15/20,8,1.65,1.7,1.75,1.70,7159,366,19.56,123.22%,05/07/20
ROKU,137.5,Call,116.00,05/08/20,1,21.70,22.28,22.85,22.33,3287,176,18.68,256.41%,05/07/20
YPF,3.85,Call,4.00,06/19/20,43,0.40,0.48,0.55,0.50,1923,103,18.67,106.56%,05/07/20
COF,60.82,Put,70.00,05/08/20,1,9.45,9.73,10.00,9.50,2310,125,18.48,206.83%,05/07/20
UBER,30.93,Call,35.00,05/08/20,1,0.27,0.34,0.40,0.30,21789,1207,18.05,226.69%,05/07/20
BILL,73.22,Call,75.00,05/15/20,8,5.80,6.65,7.50,6.20,1973,112,17.62,161.35%,05/07/20
LYFT,31.78,Call,32.50,05/08/20,1,0.43,0.46,0.50,0.50,2707,160,16.92,120.59%,05/07/20
BOX,16.86,Call,17.00,09/18/20,134,2.00,2.23,2.45,2.25,2676,160,16.73,56.10%,05/07/20
TEVA,11.55,Call,11.00,05/22/20,15,0.85,0.89,0.92,0.87,5974,358,16.69,60.13%,05/07/20
PINS,18.7,Call,18.50,05/15/20,8,0.75,0.78,0.80,0.80,13868,845,16.41,63.07%,05/07/20
AAPL,303.74,Put,302.50,05/22/20,15,6.65,6.75,6.85,6.70,2187,136,16.08,30.12%,05/07/20
LYFT,31.78,Put,32.00,05/15/20,8,1.70,1.75,1.80,1.70,2193,138,15.89,84.61%,05/07/20
SQ,74.62,Put,68.50,05/15/20,8,0.62,0.66,0.69,0.62,3088,199,15.52,62.11%,05/07/20
DBX,21.89,Call,22.00,05/08/20,1,1.25,1.3,1.35,1.35,3516,230,15.29,306.70%,05/07/20
WFC,25.23,Put,27.50,06/19/20,43,2.99,3.07,3.15,3.09,85551,5606,15.26,48.77%,05/07/20
PYPL,146.29,Call,160.00,06/19/20,43,2.27,2.35,2.43,2.31,3427,226,15.16,33.94%,05/07/20
DBX,21.89,Call,22.00,05/22/20,15,1.60,1.68,1.75,1.67,1955,131,14.92,97.02%,05/07/20
NVDA,304.87,Call,307.50,05/08/20,1,1.75,1.85,1.94,1.91,11260,755,14.91,47.58%,05/07/20
WDC,41.85,Call,57.50,10/16/20,162,1.66,1.84,2.02,1.66,1779,127,14.01,51.70%,05/07/20
UAA,9.61,Put,9.50,05/15/20,8,0.67,0.69,0.70,0.69,7725,564,13.7,132.25%,05/07/20
KNX,37.3,Call,45.00,09/18/20,134,1.15,1.35,1.55,1.30,1493,110,13.57,40.22%,05/07/20
HAL,10.01,Call,12.00,05/29/20,22,0.16,0.18,0.20,0.19,1830,136,13.46,77.39%,05/07/20
ZM,157.8,Put,155.00,05/08/20,1,1.00,1.25,1.50,1.37,4541,348,13.05,77.45%,05/07/20
